type;alignment
original;1.067773550748830
original;1.0555027425289200
original;1.034182757139210
original;1.018599346280100
original;0.9988848119974140
original;0.9835483878850940
original;0.9832017123699190
original;0.9822617471218110
original;0.9794604033231740
original;0.9790355712175370
original;0.9703145176172260
original;0.955510213971138
original;0.9539584070444110
original;0.9448670595884320
original;0.9428377449512480
original;0.9413979947566990
original;0.9327858686447140
original;0.9293694049119950
original;0.9262039512395860
original;0.9246822446584700
original;0.9240785986185070
original;0.9239155054092410
original;0.9210548549890520
original;0.9205200523138050
original;0.918649286031723
original;0.918060839176178
original;0.917910635471344
original;0.9176056832075120
original;0.9175089746713640
original;0.915769413113594
original;0.9137597680091860
original;0.9131757915019990
original;0.9094668924808500
original;0.9072496742010120
original;0.9072118252515790
original;0.9065738320350650
original;0.9038569033145910
original;0.9026883542537690
original;0.902526006102562
original;0.9023725986480710
original;0.9021621942520140
original;0.901978388428688
original;0.9007211774587630
original;0.8972378075122830
original;0.8954206109046940
original;0.8949203044176100
original;0.8937486261129380
original;0.8935225009918210
original;0.8933532983064650
original;0.892307311296463
original;0.8916261047124860
original;0.891372486948967
original;0.8892612159252170
original;0.8891534805297850
original;0.8888191729784010
original;0.8859920501708980
original;0.8859175443649290
original;0.8859147131443020
original;0.8856944739818570
original;0.8844244480133060
original;0.8840162307024000
original;0.8834122121334080
original;0.8833908289670940
original;0.8825967460870740
original;0.8816563338041310
original;0.8809708058834080
original;0.8807685226202010
original;0.8803042769432070
original;0.8802111446857450
original;0.8791782706975940
original;0.8781881630420690
original;0.8775900304317470
original;0.8760316669940950
original;0.8759839832782750
original;0.8758059144020080
original;0.8732399344444280
original;0.870126336812973
original;0.8693113178014760
original;0.867733359336853
original;0.8669283986091610
original;0.8662194013595580
original;0.8647427707910540
original;0.8639054000377660
original;0.8635979890823360
original;0.8630881458520890
original;0.862966924905777
original;0.8620475232601170
original;0.8614528924226760
original;0.8607655763626100
original;0.8604609221220020
original;0.8590603619813920
original;0.856778472661972
original;0.8566953986883160
original;0.8565086126327520
original;0.8562452346086500
original;0.8545330911874770
original;0.8542396128177640
original;0.8532650768756870
original;0.8526214957237240
original;0.8523464202880860
quantity;NA
quantity;NA
quantity;NA
quantity;0.8459804952144620
quantity;NA
quantity;NA
quantity;NA
quantity;0.9699265658855440
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;0.9412661194801330
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;0.9060432761907580
quantity;NA
quantity;NA
quantity;NA
quantity;0.8975715935230260
quantity;NA
quantity;NA
quantity;0.9104061126708980
quantity;NA
quantity;NA
quantity;NA
quantity;0.8808300644159320
quantity;0.8880186080932620
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;0.8834850043058400
quantity;NA
quantity;NA
quantity;0.8785400539636610
quantity;NA
quantity;0.8840920776128770
quantity;0.8061499148607250
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;0.8174307644367220
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;0.8699115365743640
quantity;NA
quantity;0.8602419495582580
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;0.833624079823494
quantity;NA
quantity;0.790853276848793
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;0.75825534760952
quantity;0.8591114729642870
quantity;0.8732913434505460
quantity;NA
quantity;NA
quantity;NA
quantity;0.8275262266397480
quantity;NA
quantity;NA
quantity;NA
quantity;NA
quantity;0.8054462820291520
quantity;0.8073042333126070
location;NA
location;NA
location;1.0191933065652800
location;0.8187080919742580
location;NA
location;NA
location;0.6621179729700090
location;0.7771959155797960
location;NA
location;0.9767705947160720
location;NA
location;0.918680876493454
location;NA
location;0.8293519914150240
location;NA
location;0.7853056490421300
location;NA
location;0.9060770273208620
location;0.7809939980506900
location;NA
location;NA
location;0.850694328546524
location;0.7832226902246480
location;NA
location;0.5789937451481820
location;NA
location;0.8350124955177310
location;NA
location;NA
location;0.8049370348453520
location;0.8646214753389360
location;NA
location;NA
location;0.7484832406044010
location;0.8074107021093370
location;NA
location;0.7256399840116500
location;NA
location;0.7946533709764480
location;0.8969798684120180
location;0.839255303144455
location;0.8341851830482480
location;0.7776650786399840
location;0.6666742265224460
location;0.7377871870994570
location;0.78758604824543
location;0.5697491392493250
location;0.8755121380090710
location;0.766839012503624
location;0.7307872176170350
location;NA
location;0.8280674368143080
location;NA
location;NA
location;0.8809322863817220
location;0.7609584927558900
location;0.7823473215103150
location;NA
location;NA
location;0.8127689361572270
location;0.60652956366539
location;0.7609228044748310
location;0.831935703754425
location;0.7779791951179500
location;0.7032015174627300
location;0.7679324597120290
location;0.8594206720590590
location;NA
location;0.6658582389354710
location;0.5809465795755390
location;0.846753865480423
location;0.6677207350730900
location;0.8075438439846040
location;0.7704596221446990
location;0.7313548028469090
location;0.5919389054179190
location;0.7881573587656020
location;0.5348363518714910
location;NA
location;NA
location;0.7519590854644780
location;0.7174752652645110
location;0.7846242934465410
location;0.8208221197128300
location;0.8296822756528850
location;NA
location;NA
location;NA
location;0.7186764478683470
location;NA
location;NA
location;0.7330862432718280
location;0.7305867969989780
location;0.5536564812064170
location;0.7616858929395680
location;0.6322276592254640
location;NA
location;0.6296572089195250
location;0.7852248102426530
location;NA
object;0.7625623792409900
object;0.8509165048599240
object;0.7113903015851970
object;0.6949397176504140
object;0.6920313835144040
object;0.674373209476471
object;0.6357747316360470
object;0.7006487250328060
object;0.8907891809940340
object;0.8665648847818380
object;0.6140954047441480
object;0.6917770206928250
object;0.6990201771259310
object;0.7603755593299870
object;0.6061537563800810
object;0.6848364323377610
object;0.553218312561512
object;0.6220085546374320
object;0.7280754297971730
object;0.8547605574131010
